Jobtitle,Company,Location,Job Position,Salary Min,Salary Max,Job Description
Assistant Strategic Procurement Manager,Evolution Wellness (Thailand) Ltd.,"Bang Rak, Bangkok",Administrative Assistants,Full time,,,"Scope & Responsibility Oversea the procurement of Fitness equipment both domestically and internationally. Manage import/export processes, customs clearance, and product logistics. Handle contract negotiations and agreements related to the use of third-party services. Manage warehouse stock, transportation. Generate and analyse various reports to identify cost-saving opportunities. Manage team and any procurement activities. Perform tasks as assigned Qualification s: Bachelor's degree in any filed 7 years experience in Procurement or related field Proactive, service minded and good interpersonal skills Good communication and analytical skills. Good negotiation skill and problem solving skill. Good computer skills (MS Office) Love exercise Welfare Life Insurance Health Insurance Provident Fund Social Security Fund Free Fitness Membership Public Holiday 15 day per year Annual Leave Annual Health checked up and Vaccine Special Monthly due for staff family Work place: Head Office at Sathorn Square (connected with BTS Sky train – Chong Non Sri Station) Working hour: Monday to Friday (9.00 am. – 6.00 pm.) / Hybrid working after pass probation Human Resources Department 3rd - 4th Floor, Sathorn Square Office Tower. 98 North Sathorn Road., Silom, Bangrak, Bangkok 10500 Tel: 02 118 6600"
Receptionist/พนักงานต้อนรับ,Sodexo Services (Thailand) Ltd.,"Pathum Wan, Bangkok",Administrative Assistants,Full time,25000,29999,"Position : Office Administrator Key Result Areas: Supervise and provide guideline for reception work and also act as receptionist Resolve service problems by clarifying the customer's complaint; determining the cause of the problem; selecting and explaining the best solution to solve the problem; expediting correction or adjustment; following up to ensure resolution Recommend potential solution to management by collecting customer information and analyzing customer needs Prepare service reports by collecting and analyzing customer information Follow communication procedures, guidelines, and policies Contribute to team effort by accomplishing related results as needed Control the messenger, stationery and business card Receive, sort and distribute daily mail and post. Manage visitor badge Take care of any assignments added by the direct supervisor. Manage housekeeping, Mailroom and Messenger on site and run the periodic plan ie. Carpet shampooing Represent company finance administrative role for placing invoice, receive cheque and etc. Represent company human resources"
Customer Service & Sales Associate/ลูกค้าสัมพันธ์และประสานงานขาย,Physique 57,"Pathum Wan, Bangkok",Administrative Assistants,Full time,20000,29999,"Physique 57 - ฟิซีค 57 สตูดิโอออกกำลังกายระดับพรีเมี่ยม เป็นเฟรนไซส์มาจาก New York City, USA เปิดรับสมัครทีมงาน Customer Service & Sales Associate (ลูกค้าสัมพันธ์และประสานงานขาย) สำหรับทั้ง 3 สาขา: เอราวัณ สุขุมวิท 49 และสาทร คุณสมบัติ : วุฒิการศึกษาปวส. ขึ้นไป หากมีประสบการณ์ด้านการขายสินค้าจะได้รับพิจารณาเป็นพิเศษ มีทักษะในการสื่อสาร สื่อสารภาษาอังกฤษได้ มีบุคลิกภาพและมนุษยสัมพันธ์ที่ดี ใจเย็น มีใจรักงานบริการ มีทักษะการปรับตัว มีปฏิภาณไหวพริบในการแก้ปัญหาเฉพาะหน้าได้ดี ชอบออกกำลังกาย ชอบเรียนรู้ ชอบบริการ งานประจำ: ทำงานเป็นกะได้ - สัปดาห์ละ 5 วัน หยุด 2 วัน สามารถทำงานเป็นทีม มีความระเอียดรอบคอบ ** และที่สำคัญ ** มีความรับผิดชอบต่องาน ด้วยตัวเองได้ หน้าที่และความรับผิดชอบ ต้อนรับให้บริการสมาชิกที่มาออกกำลังกายที่สตูดิโอ ให้ข้อมูลกิจกรรม แนะนำคลาส ขายแพกเกจออกกำลังกาย และสินค้าทั้งที่สตูดิโอและผ่านระบบออนไลน์ รวมทั้งลงระบบซื้อ ขาย ประสานงานกับทีมงานที่เกี่ยวข้อง รักษาฐานลูกค้าด้วยการสร้างความสัมพันธ์ที่ดีกับลูกค้า มีงานเอกสาร รายงานที่ต้องรับผิดชอบ ดูแลประสานงานกับเทรนเนอร์ ดูแลความเรียบร้อยภาพรวมของสตูดิโอ สวัสดิการ : เงินเดือนตามประสบการณ์ +OT (กรณีทำงานล่วงเวลา หรือเข้าพิเศษ) เริ่มต้น 20,000 – 30,000 ต่อเดือน Incentive จากยอดขาย และโบนัสรายเดือน วันหยุดประจำปี ประกันสังคม ประกันสุขภาพ - ทันตกรรม Uniform เริ่มงาน มกราคม 2567 สอบถามรายละเอียด - ส่ง Resume พร้อมรูปถ่าย ติดต่อคุณพัด Tel: 081-618-5300 www.physique57bangkok.com"
Operation Support Staff/KYC,Sumitomo Mitsui Banking Corporation,"Sathon, Bangkok",Administrative Assistants,Full time,,,"Responsibilities : Handle daily support operation for Relationship Manager including follow up document from customer and prepare document as requested from Relationship Manager. Oversee day-to-day KYC review process including on-boarding (New customer) and Existing Customers. Preparing, screening and reviewing of all documents as per required by KYC procedures and utilizing a variety of both internal information sources and external sources for research and verify customer’s information. Pre-analyze customer information, documentation and negative news in order to provide initial client risk profile before submit to KYC Team. Liaised with clients, Front Officer, Middle Office, Legal and Compliance, credit as part of documentation preparing process. Qualifications Bachelor’s Degree in Laws, Business Administration or related fields. At least 3 years of experience in KYC, AML monitoring and screening is an advantage. Good command of both spoken and written in English Strong communication and interpersonal skills. Ability to use MS Office, particularly Microsoft Officer and Excel."
Administrative/ฝ่ายธุรการ ซื้อ ขายและบริการ,"IPW DIGITAL CO., LTD.","Bang Khun Thian, Bangkok",Administrative Assistants,Full time,16000,24999,"ด่วน*** สมัครพร้อมสัมภาษณ์ ทันที ตำแหน่ง พนักงานประสานงานซื้อ ขายและบริการ ฿ 18,000 - 25,000 บาท รายละเอียดงาน ประสานงานซื้อ ขายและการบริการ ออกและจัดเก็บเอกสารซื้อ ขายและการบริการ ประสานงานการจัดส่ง ติดตามการจัดส่งเพื่อให้กระบวนการการซื้อ ขาย การบริการ และการจัดส่งเป็นไปโดยราบรื่นและมีประสิทธิภาพ และสร้างความพึงพอใจให้กับลูกค้า คุณสมบัติ -          ปริญญาตรี สาขาการตลาด/ การขาย/ การบริหาร -          ประสบการณ์ทำงานด้านการสนับสนุนการซื้อ-ขายไม่ต่ำกว่า 3 ปี -          จิตใจบริการ -          การจัดลำดับความสำคัญของงาน -          มีความสามารถในการแก้ไขปัญหาเฉพาะหน้า -          เรียนรู้ได้เร็ว/การปรับตัว -          การประสานงาน / Teamwork -          การสื่อสาร / มนุษยสัมพันธ์ -          รายได้ขึ้นอยู่กับวุฒิการศึกษา และประสบการณ์ ปรับเงินเดือนตามความสามารถ คุณสมบัติอื่นๆ (Other) -          ใช้โปรแกรม MS Words, MS Excel, MS PowerPoint, E-mail, Internet, CD organizer ได้คล่อง -          พิมพ์ดีดไทยและอังกฤษได้คล่อง (ไทย : 40 คำ/นาที, อังกฤษ : 50 คำ/นาที) -          มีความรู้ภาษาอังกฤษ (ฟัง พูด อ่าน เขียน) ดี (เทียบเท่า TOEFL 450) -          ละเอียด รอบคอบ ประณีต สถานที่ปฏิบัติงาน บริษัท ไอพีดับบลิว ดิจิตอล จำกัด o   242 ซอยพระรามที่ 2 ซอย 50 แขวงแสมดำ เขตบางขุนเทียน กรุงเทพฯ 10150 วิธีการสมัครงาน o   สมัครด้วยตนเองที่ บริษัท ไอพีดับบลิว ดิจิตอล จำกัด 242 ซอยพระรามที่ 2 ซอย 50 แขวงแสมดำ เขตบางขุนเทียน กรุงเทพฯ 10150 -          สำเนาบัตรประชาชน             1              ใบ -          สำเนาทะเบียนบ้าน               1              ใบ -          สำเนาวุฒิการศึกษา              1             ใบ -          รูปถ่าย 1-2 นิ้ว จำนวน         1             รูป ***หากมีประสบการณ์ จะได้รับการพิจารณาเป็นพิเศษ*** สวัสดิการเพิ่มเติม - เงินเดือนประจำ - เบี้ยขยันรายเดือน - โบนัสประจำปีตามผลประกอบการบริษัท - ประกันสังคม - ชุดฟอร์มพนักงาน - ปรับเงินเดือนประจำปี (ตามการ ประเมิน) - การอบรมพิเศษต่างๆ - งานเลี้ยงประจำปี - วันหยุดพักผ่อนประจำปี 6-10 วัน (วันหยุดพักร้อน) - เงินสวัสดิการงานแต่งงาน - เงินช่วยเหลือ ค่าฌาปณกิจศพ บิดา-มารดา - เบี้ยเลี้ยง การทำงานนอกสถานที่ - ค่าทำงานล่วงเวลา สนใจร่วมงานสามารถสอบถามรายละเอียดที่ โทร. 089-498-7855, 02 -452-9990 ext. 408"
Sales Administration,"Gaysorn Private Equity Co., Ltd.","Khlong Toei, Bangkok",Client & Sales Administration,Full time,,,"Responsibility ; Provide support and updates for sales activities. Ensure timely completion of all sales-related activities and documentation. Generate and distribute quotations, letters, internal memos, and other necessary documents to assist Sales team members. Facilitate coordination with customers, addressing operational details for order issuance and billing. Collaborate with internal and other departments, including Operations, Marketing, and Accounting, to verify resources and routing. Prepare administrative documents such as stationery, brochures, reimbursements, and other materials in response to daily requests. Qualifications: Bachelor Degree in any field. 0-3 years in Sales Support Able to use computer (Microsoft Office) Able to use SAP Program Open-minded, Willing to learn new things"
Sales Support/Sales Co-Ordinator/เจ้าหน้าที่ประสานงานขาย,"Connect Asia Interfood Co., Ltd.","Khlong San, Bangkok",Client & Sales Administration,Full time,16000,19999,"Support Sales Team. Track sales orders to ensure that customer’s purchase orders are delivered on time. Delivery planning and booking Co-with Operations Team. Carry out administrative tasks such as data input, processing information, completing paperwork and filling documents. Undertake the day-to-day operations e.g. quotation, purchase order, tax invoice and billing process for customer. Complete the administrative needs of the Sales Department such as sales plan, marketing plan. Ad-Hoc as assigned"
Human Resource / HR,Deepwear International Fashion Agency,"Vadhana, Bangkok",Administrative Assistants,Full time,,,"Human Resource / HR Job Responsibility: - Manage the staffing process, including recruiting, interviewing, hiring and onboarding - Ensure job descriptions are up to date and compliant with all local, state and federal regulations - Develop training materials and performance management programs to help ensure employees understand their job responsibilities - Create a compensation strategy for all employees based on market research and pay surveys; keeps the strategy up to date - Investigate employee issues and conflicts and brings them to resolution - Ensure the organization’s compliance with local, state and federal regulations - Use performance management tools to provide guidance and feedback to team - Ensure all company HR policies are applied consistently - Maintain company organization charts and employee directory - Partner with management to ensure strategic HR goals are aligned with business initiatives - Maintain HR systems and processes - Conduct performance and salary reviews - Provide support and guidance to HR staff - Analyze trends in compensation and benefits - Design and implement employee retention strategies - Handling global staff members in different timezones."
HR & GA Officer BTS Ari Max 30K (51363),"PASONA RECRUITMENT (THAILAND) CO., LTD.","Phaya Thai, Bangkok",Administrative Assistants,Full time,,,"Job Description Human Resources Support: • Assist in recruitment activities, such as job posting, candidate screening, and interview coordination. • Support the onboarding process for new employees, including preparation of employment contracts and orientation materials. • Maintain employee records, including attendance, leave management, and personal data updates. General Affairs Support: • Assist with office administration tasks, including document management, office supplies procurement, and maintenance of office equipment. • Coordinate internal events, meetings, and business trips. • Handle general inquiries and provide assistance to employees regarding office facilities and services. • Assist with payroll administration and benefits administration tasks. Required work experience. • Bachelor’s degree in any related filed. • Good command of English • At least 1 year of working experience in GA and HR role • Active and energetic Location: BTS Ari Working hour: 10.00-19.00 hrs"
Sales Coordinator (Foodstuffs Dept.)/เจ้าหน้าที่ประสานงานขาย,"Nippon Steel Trading (Thailand) Co., Ltd.","Bang Na, Bangkok",Client & Sales Administration,Full time,,,"Details of work : Support documents for Sales Team, Collect and filling sales documents, Coordinate in the office, Government, customers & supplier, etc. Qualifications : Bachelor’s Degree in Business Administration or related field At least 1-2 years experience in documentation job : Food Industry will be an advantage. Good command in English both spoken and written Good knowledge in operation computer (Windows, Excel, Word, etc.). Able to handle day-to-day documents such as making Quotation, Inquiry, Purchase Order, Sales Contract, etc. Have strong interpersonal and communication skills. Good teamwork and result oriented"
