Jobtitle,Company,Location,Job Position,Salary Min,Salary Max,Job Description
IT Support Officer,"Symphony Communication Co., Ltd.","Chatuchak, Bangkok",Help Desk & IT Support,Full time,,,"Key Responsibilities: Training end-users on hardware functionality and software programs. Updating computer software. as well as upgrading hardware and systems. Documenting processes and performing diagnostic tests. Keeping track of technological advancements and trends in IT support. Troubleshooting technical issues. Diagnosing and repairing faults. Installing and configuring hardware and software. Following up with clients to ensure the problem is resolved. Replacing or repairing the necessary parts. Supporting the roll-out of new applications. Qualification: 22 - 35 Years Old Experience 0-3 Years. Bachelor's degree in computer science or information technology or related fields. Good background in Technical Support or IT Development area. Experienced in IT Support or Service Desk or related fields. Excellent in listening, questioning, diagnostic and explaining the technical term in easy language including problem solving with logical thinking skills. Strong in Analytical skill, Problem-solving skill, and effective communication. Knowlege in ISO 27001 policy"
System Analyst,"ZIGMA WORLD TECH CO., LTD.","Bang Na, Bangkok",Engineering - Software,Full time,35000,69999,"ตำแหน่ง : System Analyst : SA คุณสมบัติ จบการศึกษาระดับปริญญาตรี คณะ/สาขา วิทยาการคอมพิวเตอร์, เทคโนโลยีสารสนเทศ, วิศวะคอมพิวเตอร์ หรืออื่นๆที่เกี่ยวข้อง มีประสบการณ์ด้าน SA อย่างน้อย 3 ปี มีความเชี่ยวชาญในด้านการวิเคราะห์และออกแบบระบบ Software เป็นอย่างดี สามารถออกแบบฐานข้อมูลได้ มีความรู้พื้นฐานในด้านการบริหารจัดการ Project และการทดสอบระบบ มีความสามารถในด้านการสื่อสารกับผู้คนที่เกี่ยวข้องใน Project หรือตำแหน่งงานอื่นๆ มี Positive Thinking และพร้อมรับความท้าทายใหม่ ความรับผิดชอบ ประสานงานกับ User เพื่อทำการเก็บความต้องการของระบบ วิเคราะห์และออกแบบ ระบบที่ได้รับมอบหมาย ประสานงานกับหน่วยงานต่างๆ เพื่อให้งานออกมาตามที่ได้ออกแบบไว้ ควบคุม Timeline ของ Project ตรวจสอบความถูกต้องของงาน ให้เป็นไปตามที่ได้ออกแบบไว้ ติดตามและสนับสนุนการใช้งานให้แก่ผู้ใช้งาน ทำเอกสารประกอบการ UAT ทำเอกสารประกอบการใช้งานระบบ สนับสนุนทีมงานในระหว่าง Go Live ระบบ"
Assistant IT Manager - 120k,Page Group Thailand,Others,Management,Full time,,,"We are seeking a highly skilled individual to join our team as an Assistant IT Manager. The ideal candidate will have a strong background in IT management, with experience in security, application management, and in implementing ERP systems. Experience in IT operations, the security and integrity of systems, contributing to the development and maintenance of various applications, and actively participating in the implementation of ERP solutions. Description Responsibilities: IT Management: Assist in the overall management of the IT department, collaborating with the IT Manager to ensure the smooth operation of all systems. Participate in the planning and execution of IT projects to enhance the organization's technological infrastructure. Security Oversight: Implement and maintain security measures to safeguard the organization's information systems and data. Monitor and respond to security incidents, conducting regular security audits to identify and address vulnerabilities. Application Management: Oversee the deployment, maintenance, and troubleshooting of applications used across the organization. Collaborate with development teams to ensure the effective integration of new applications and updates. ERP Implementation: Play a key role in the planning and execution of ERP system implementations. Collaborate with relevant stakeholders to ensure the successful integration and optimization of ERP solutions. Technical Support: Provide technical support to end-users, resolving IT-related issues promptly and efficiently. Collaborate with the IT support team to enhance user experience and streamline support processes. Documentation and Reporting: Maintain accurate documentation of IT systems, configurations, and security measures. Generate regular reports on the performance and security status of IT systems for management review. Profile Qualifications: Bachelor's degree in Information Technology, Computer Science, or a related field. Proven experience in IT management roles with a focus on security, application management, and ERP implementation. Strong knowledge of IT security best practices and the ability to implement effective security measures. Experience in deploying, maintaining, and troubleshooting a variety of applications. Hands-on experience in planning and implementing ERP solutions. Excellent communication and interpersonal skills. Ability to collaborate with cross-functional teams and vendors. Job Offer Benefits: Performance Bonus Transportation allowance Provident Fund Flexibility Page Group Thailand is acting as an Employment Agency in relation to this vacancy."
QA Manual Tester 1 year contract 40K-50K,"360 Quality Management Co., Ltd.",Bangkok,Engineering - Software,Full time,,,"*Job Title: QA Manual Tester - Dermatologist Mobile Consult Application** **Company Overview:** My client is a cutting-edge technology company dedicated to revolutionizing dermatological care through innovative mobile applications. Their mission are to provide accessible and convenient dermatology consultations through advanced digital platforms. As part of our commitment to excellence, we are seeking a skilled QA Manual Tester to join our dynamic team and ensure the highest quality standards for our dermatologist mobile consult application. **Position Overview:** We are looking for a meticulous QA Manual Tester to play a crucial role in ensuring the reliability, functionality, and performance of our dermatologist mobile consult application. The ideal candidate will have a keen eye for detail, strong analytical skills, and a passion for delivering a seamless user experience in the field of dermatological care. **Responsibilities:** 1. **Test Planning and Execution:** - Develop comprehensive test plans based on project specifications and requirements. - Execute manual testing procedures to identify and document software defects. - Conduct thorough regression testing to ensure the stability of the application. 2. **Collaboration:** - Collaborate with cross-functional teams, including developers, product managers, and UX/UI designers, to understand requirements and user scenarios. - Participate in regular meetings to discuss project progress, identify potential issues, and propose solutions. 3. **Defect Management:** - Document and track defects, working closely with the development team to ensure timely resolution. - Perform root cause analysis to identify underlying issues and provide detailed defect reports. 4. **Test Case Design:** - Create and maintain detailed, reusable, and efficient test cases based on functional and non-functional requirements. - Continuously update test cases to reflect changes in application features and functionality. 5. **Quality Assurance:** - Contribute to the continuous improvement of the QA process by suggesting and implementing best practices. - Ensure compliance with industry standards and regulations related to healthcare applications. **Requirements:** - Bachelor's degree in Computer Science, Information Technology, or a related field. - Proven experience as a QA Manual Tester, preferably in the healthcare or mobile application domain. - Strong understanding of manual testing methodologies and best practices. - Familiarity with dermatological care concepts is a plus. - Excellent communication skills and the ability to work collaboratively in a fast-paced environment. - Detail-oriented with a strong sense of ownership and accountability. If you are passionate about ensuring the quality of cutting-edge healthcare technology and making a meaningful impact in the field of dermatology, we invite you to apply for the QA Manual Tester position at sarawan.w @ 360 qm.co.th for more information please call/line 065-232-4155"
SAP Functional,ThaiNamthip Corporation Limited,"Lak Si, Bangkok",Database Development & Administration,Full time,,,"Design, develop, and implement IT solutions for Supply chain, Procurement, Warehouse, Finance, Controlling and Commercial processes. Analyze data and identify opportunities for improvement. Work with business stakeholders to understand their needs and requirements. Collaborate with other terms to ensure a seamless integration of solutions. Provide training and support to users. Qualifications : Bachelor’s or Master’s degree in Computer Science, Information, or related field 1 years of experience working with SAP BW4HANA Knowledge, SAP S4HANA, SAP ABAP, SAP Datasphere, SAP SAC will be an advantage. Ability to analyze problems and provide clear recommendations Strong organizational skills Good communication skills, written and verbal in Thai and English and presentation skill Able to manage own workload with some supervision Able to work under pressure Please send your resume, stating expected salaries, together with a recent photograph by clicking ""Apply Now"" ThaiNamthip Corporation Limited 214 Moos 5 Vibhavadirangsit Road, Tung Song Hong, Laksi, Bangkok 10210, Thailand ทางบริษัทฯ จะติดต่อกลับผู้สมัครที่มีคุณสมบัติตรงตามตำแหน่งงานเท่านั้น"
Programmer/โปรแกรมเมอร์,"Avesta Co., Ltd.",Ubon Ratchathani,Engineering - Software,Full time,,,"คุณสมบัติผู้สมัคร มีประสบการณ์ ออกแบบและพัฒนา Web-based Application หรือ Web API โดยใช้ ASP.NET C#, .NET Core แบบ MVC เคยใช้ระบบฐานข้อมูล Microsoft SQL Server (MSSQL) และสามารถออกแบบฐานข้อมูล พัฒนาร่วมกับ ASP.NET ได้ ทำงานเป็นทีม เพื่อให้โครงการสำเร็วลุล่วงไปตามกำหนดการ สามารถเขียน Web Service (Restful API) ได้ มีการสื่อสารที่ดี ทำงานเป็นทีมได้ มีความรับผิดชอบสูง ซื่อสัตย์ มีวินัย ชอบศึกษาหาความรู้ใหม่ๆ อย่างต่อเนื่อง ไม่เป็นผู้ติดเกมส์ออนไลน์ การพนัน วัตถุและสารเสพติด มึนเมาทุกชนิด หากมีประสบการณ์เขียน Web Socket, SignalR ได้ จะพิจารณาเป็นพิเศษ หากมีประสบการณ์เขียน Angular ได้ จะพิจารณาเป็นพิเศษ สวัสดิการ ทำงาน 5 วัน/สัปดาห์ กองทุนสำรองเลี้ยงชีพ โบนัสตามผลประกอบการ"
Sale/Sales Engineer/พนักงานขาย/พนักงานส่งเสริมการตลาด,"AESC Co., Ltd.",Eastern Region,Sales - Pre & Post,Full time,,,"Job Description: We are seeking a Sale/Sales Engineer who is passionate about technology and has the ability to explain complex technical concepts to non-technical audiences. As a Sales Engineer at AESC, you will play a critical role in working closely with our sales team to understand our clients' needs and demonstrate how our solutions can meet those needs effectively. Responsibilities: Collaborate with the sales team to understand client requirements and identify suitable technical solutions. Conduct CAE software product demonstrations and presentations to potential clients. Assist in the preparation of technical proposals and documentation. Act as a technical liaison between clients and our product development team. Provide technical support during the sales process, addressing client inquiries and concerns. Stay up-to-date with industry trends and advancements in technology. Travel to client locations as needed for presentations and meetings. Qualifications: Bachelor's degree in Engineering, Business administration or a related field (preferred). Proven experience in a CAE software Sales Engineer or similar technical sales role. Strong technical knowledge and the ability to understand and explain complex technical concepts. Excellent communication and presentation skills. Ability to work collaboratively with cross-functional teams. Proficiency in using technical software and tools. Willingness to travel as required. Benefits: Competitive salary and commission structure. Comprehensive benefits package, including health, dental, and retirement plans. Professional development opportunities. A collaborative and innovative work environment."
Sales Manager / Yannawa / Max 60K / Solar Systems,"360 Quality Management Co., Ltd.","Yan Nawa, Bangkok",Sales - Pre & Post,Full time,45000,69999,"Location: Ratchadaphisek Rd, Bang Phong Phang, Yan Nawa, Bangkok 10120 Salary range: 45,000THB to 60,000THB Industry: Solar System Consulting Responsibilities Manage and nurture existing accounts effectively, ensuring customer satisfaction and identifying upsell opportunities. Update and maintain accurate sales pipeline records on a regular basis. To expand the client base, identify and cultivate relationships with potential customers. Create and implement strategic sales call schedules to engage with potential clients proactively. Give potential and existing customers detailed product and technical information. Consult with customers about our solar system solutions, understanding their needs and proposing engineering changes as needed. Increase market awareness of the company's products and services. Oversee and manage projects while cultivating strong customer relationships. Qualifications A bachelor's or master's degree in engineering or a closely related field is required. A minimum of 3-5 years of sales experience in the electrical and electronic industrial products sector is required. Solid knowledge of the sales and distribution processes. Intermediate project management abilities are required. Communication in English is second nature to you. Positive attitude, proactive and self-motivated. Discipline and the ability to work under pressure are required. Strong interpersonal skills and the ability to influence others are required. It is advantageous to own a car and have a valid driving license. ********************************************************************************************************* All applications will be treated in strict confidence. All material submitted in connection with your application will become part of our confidential recruitment files. We regret that only shortlisted candidates will be notified. By submitting your curriculum vitae or personal data to us in connection with your job application, you are deemed to have read and agreed to the terms of our Privacy Policy, and consented to the collection, use and disclosure of your personal data by us and our affiliates, in accordance with our Privacy Policy. Please visit www.360qm.co.th for a copy of our Privacy Policy. If you wish to withdraw your consent, please drop us an email to let us know. ********************************************************************************************************** 360 Quality Management Co., Ltd. G Tower Grand Rama 9, 30 FL. North Wing, Rama 9 Rd.Huaykwang, Bangkok, 10310 Contact Person: Khun Teerapol 094-979-4440 (Please click apply via JobsDB first.)"
Product Manager (Martech),PRTR,"Pathum Wan, Bangkok",Business/Systems Analysts,Full time,,,"More than just a recruitment company. At PRTR, we have been a part of our customer's success for 30 years as their total HR solutions partner. With 550 dedicated professionals and over 15,000 outsourced staff, we will continue to carry out our mission to develop a better career, a better life, and a better society, and thrive to become the No.1 people solutions organization in Southeast Asia. Job Description Managing the connection between IT and business consumers and customers, ensuring a comprehensive understanding of opportunities and challenges in business functions, and providing advice on optimal solutions. Transforming business strategies, opportunities, threats, and needs into IT product requirements, playing a crucial role within the Product Group Team to specify, test, and deploy those as IT solutions. Supporting the Product Manager and Business Relationship Manager in the development of the strategy through incremental improvement of the product. Facilitating business scenarios and use cases for the product mix, covering product introduction, specifications, and the change management necessary to maximize its adoption and value. Evaluating short-term needs using structured interview processes and consumer research methods to comprehend opportunities and assist the business in establishing priorities. Collaborating with business and IT to elicit, analyze, translate, and document business requirements, pain points, or opportunities into IT requirements. Consulting with Product Group teams, proposing alternative solutions, and overseeing advisory discussions on options, risks, costs versus benefits, and impact on other business processes and product priorities. Qualifications Holds a Bachelor's degree in business, information systems, or a related discipline, or an equivalent; M.B.A. preferred. Brings over 10 years of relevant experience in business analysis within a pertinent functional area. Demonstrates extensive project management experience. Benefits from extensive business experience in a relevant function. Shows strong experience working in an Agile/DevOps environment using the design thinking methodology. Possesses experience in effective communication at various organizational levels and proficiency in both English and Thai. Has experience working in a global environment and collaborating with virtual teams."
Senior Cyber Security,PricewaterhouseCoopers ABAS Ltd. (PwC),"Sathon, Bangkok",Business/Systems Analysts,Full time,,,"Lines of Service: Risk Assurance Risk Assurance is a dynamic place to be right now, and the variety of opportunities on offer is unprecedented. It’s work that really does matter. It matters for businesses, governments and society at large. Our team provides confidence on the most complex decisions companies have to take and this provides a wealth of opportunities to everyone who joins us and works with us. Our Risk Assurance team helps business leaders gain comfort that their systems, processes, and risk management procedures are operating effectively within a well-controlled environment. We focus on helping clients make sure they have adequate controls in place to mitigate key risks, maintain key processes that enable management to make appropriate decisions, and ensure that an effective risk management framework is in place in case of a system breakdown. Responsibilities Invite and give in the moment feedback in a constructive manner. Share and collaborate effectively with others. Identify and make suggestions for improvements when problems and/or opportunities arise. Handle, manipulate and analyse data and information responsibly. Follow risk management and compliance procedures. Keep up-to-date with developments in area of specialism. Communicate confidently in a clear, concise and articulate manner - verbally and in the materials I produce. Build and maintain an internal and external network. Seek opportunities to learn about how PwC works as a global network of firms. Uphold the firm's code of ethics and business conduct. Qualifications and requirements: Bachelor’s degree in Computer Engineering, Computer Science, Information Systems or a related field. At least 2+ years of experience for senior associate level. Experience in professional services is an advantage. Be able to utilize your well-rounded skills and experience related to industries to steer your projects to a successful outcome. Team player with strong interpersonal, communication skills. Be able to work both independently and as part of a team with professionals at all levels. Proficiency in spoken and written English & Thai. We thank all applicants. Only short-listed candidates will be contacted for interviews."
