Jobtitle,Company,Location,Job Position,Salary Min,Salary Max,Job Description
Business Development Assistant Director,BHIRAJ BURI GROUP,"Bang Na, Bangkok",New Business Development,Full time,,,"Key Responsibilities: Work with related function/person to study feasibility and ROI of the new project. Identify/set up project KPIs by considering quality, time and resources. Structure project team in terms of roles & responsibilities. Develop a common set of principles, practices, and templates for managing various organizational projects. Develop project management plan, resources, and prepare business case. Prepare and present cost-benefit analyses to support business case development and the implementation of projects. Provide project standardized reports, tools and techniques for project management. Allocate and manage resources across project to optimize/utilize limited resources. Monitor project progress and assist the project manager in reporting to project steering committee. Gather data that relate to project progress, performance, problem and support needs from several projects in pipeline and reporting to steering committee. Oversee project costs to ensure cost effectiveness Qualifications: Bachelor or higher degree in business administration and related field. A minimum of 3 years experience up in business development. Strong analytical and critical thinking skills. Exceptional written, oral and presentation abilities. Good command of written and spoken English."
Distribution Sales Support Executive,Prudential Life Assurance (Thailand) Public Company Limited,"Pathum Wan, Bangkok",New Business Development,Full time,,,"Responsibilities: Coordinate with related parties including bank partners and internal teams to arrange events and meetings. Provide support on document process including procurement and payment for both strategy and sales team. Monitor sales performance to summarize campaign incentive and control end to end campaign incentive delivery process. Ensure system and process runs efficiently, and resolve issues arise during day-to-day operation. Qualifications: Bachelor's degree in Business Administration, Marketing, Finance or related fields At least 5 years of work experience in banking business, consumer business or insurance business Have good command of computer MS Office skills Possess “Can do” attitude, entrepreneurial spirit, practical creativity, a strong determination & commitment to deliver results Good communication, coordination and logical skills Capable of solving problems Good team working, highly motivated and proactive"
Export Sales Executive,"SCG International Co., Ltd.","Bang Sue, Bangkok",Account & Relationship Management,Full time,,,"Responsibilities: - Be a salesperson for commodities trade (Energy products; coal, petcoke, biomass, and other future possible products) - Provide advice and information to customers for the product, price, quality, and services - Provide advice in terms of credit and insurance. Including after-sales service. - Gather & update market information and competitor's movement - Build a strong relationship with customers & partners - Design & implement strategy to capture long-term business - Coordinate with various teams among the supply chain Qualifications: • Bachelor's Degree or higher in general business field, marketing, or related field • Able to communicate in English, self-motivated, and able to work independently. • Excellent communication skills (clarity, well-organized thinking) • Computer literacy ex. MS Office, Word, Excel, PPT • Able to work independently under pressure, willing to learn, proactive, with high responsibility and good business judgment. • Good interpersonal skills, able to lead and motivate the team and demonstrate problem-solving skills • GPA ≥ 2.70 • TOEIC Score ≥ 550 • Fluent in English will be a plus"
Business Development Manager (B2B),michelin,"Huai Khwang, Bangkok",New Business Development,Full time,,,"KEY EXPECTED ACHIEVEMENTS This role focuses on developing new business and grow one’s portfolio to the optimum, factored in all available products and services into the equation. Hunting activities. This would require working on lead management and steering the account development. Farming activities focusing on growth of SOA in each account and cross-selling of other products and services that customers are not using to optimize revenue and profitability of the company. Enhance customer’s relationship to the maximum level. Drive digitalization at every level. BDM makes all digital initiatives possible at customer’s end. Nurture the development of Central Market Intelligence platform by collecting and sharing market insights to enhance organization capabilities and share knowledge to the team. Master database management. Act as educated partner on sustainability topics for clients and partners. REQUIREMENTS 3-5 year working experience in business development. Strong communication and interpersonal skills Strong problem solving, negotiation and creative thinking skill High level of entrepreneurial spirit and self-motivation Native speakers of Thai with English fluency"
Assistant Sales Executive Residence/หัวหน้าทีมฝ่ายขายและการตลาด,"Chodthanawat Co., Ltd.","Bang Rak, Bangkok",New Business Development,Full time,,,หน้าที่ความรับผิดชอบหลัก ด้านการขาย /การตลาด (Residence) งานขายสินค้าอสังหาริมทรัพย์ ตลอดจนกระบวนทำงานต่างๆ  เป็นไปตามนโยบายและเป้าหมายองค์กร เพื่อตอบสนองและตรงความต้องการลูกค้าสุงสุด วางแผนการขายและการตลาด ตลอดจนวางกลยุทธ์และยุทธวิธีการขาย พร้อมทั้งกำหนดเป้าการขาย และการตลาด วิเคราะห์ตลาดและลูกค้าทั้งภายในและภายนอกให้ตรงกลุ่มเป้าหมาย พร้อมปรับกลยุทธ์การขายและการตลาด จัดทำรายงานและสรุปผลการขาย ประเมินผล วิเคราะห์ ปรับปรุง แก้ไขการทำงานเพื่อให้บรรลุตามวัตถุประสงค์ การสรรหาและเพิ่มช่องทางการขายและการตลาดใหม่ๆ ตลอดจนเพิ่มพันธมิตรทางการค้า เจรจาและติดต่อสื่อสารกับลูกค้า พร้อมทั้งบริหารความสัมพันธ์อันดีกับลูกค้า และรักษาฐานลูกค้าเดิม และขยายฐานลูกค้าใหม่ๆ การบริหารจัดการควบคลุม เอกสาร และงบประมาณของฝ่ายให้เป็นไปตามนโยบายบริษัท วางแผนการโฆษณาประชาสัมพันธ์และจัดกิจกรรมเพื่อส่งเสริมการขาย  และสร้างภาพลักษณ์องค์กร สำรวจตลาดคู่แข่งขันและนำมาวิเคราะห์เพื่อปรับปรุงพัฒนาสินค้า พร้อมทั้งกำหนดกลยุทธ์ และยุทธวิธีและต่อยอดผลิตภัณฑ์ใหม่ๆ ติดตามประสานงาน และเอกสารต่าง ๆตามนโยบายบริษัท งานบริการหลังการขาย ให้คำปรึกษา และคำแนะนำต่างๆ รวมทั้งการแก้ไขปัญหาต่างๆ ที่เกิดขึ้น งานอื่น ๆที่ได้รับมอบหมาย คุณสมบัติขั้นต่ำของตำแหน่งงาน การศึกษา : ปริญญาตรี ขึ้นไปสาขาการจัดการ และการตลาด หรือสาขาอื่นที่เกี่ยวข้อง ประสบการณ์ : 5  ปีขึ้นไป ด้านงานขาย การตลาด  และการวิเคราะห์ตลาด  และการประชาสัมพันธ์ คุณสมบัติอื่นๆ : ด้านภาษาอังกฤษ / และภาษาจีน สื่อสารได้ มีกลยุทธ์การขาย และทักษะในการเจรจาต่อรองได้ และเดินทางไปต่างจังหวัดได้ มีปฏิภาณไหวพริบและรู้จักแก้ไขปัญหาเฉพาะหน้าได้ มีประสบการณ์ในธุรกิจประเภทอสังหาริมทรัพย์ (Residence) และ planning analyst สามารถวางกลยุทธ์ (Background Marketing) & วางแผนโปรโมชั่นได้
Urgent! Area Sales Manager (Chain store) // Medical Product,Adecco Recruitment (Thailand) Limited,"Chatuchak, Bangkok",Account & Relationship Management,Full time,,,"Assign Target numbers to sales representatives and plan sales work together as a team. Assign sales representatives to work in each area. Manage sales areas and customers for sales representatives. Manage selection of potential customers to make the sales representative's work easier and focus on the right point Plan, coach, follow up, and develop sales representatives in their work. Supervise and supervise the team's promotional activities to drive sales. Prepare and present the team's Incentive Scheme to NSM and management for consideration. Manage and control expenses efficiently. Search and analyze new opportunities in the market. Report sales results and the situation in the sales area to the company. Report on opportunities and impacts of sales in situations that occur to the company. Product Demand Forecast report. Coordinate with NSM and senior management. Other tasks as assigned. Requirement Experience in the field and sales team management for 5 years or more. Have the ability to set up a sales system well. Good communication Be agile in management and work proactively. Have leadership, empathy, and analytical thinking skills. Able to use Microsoft Office and work well under pressure. Enthusiastic Have the ability to adapt, be patient, and have a driver's license and personal car."
Sales Support Specialist/Sales Support Specialist,"Great Wall Motor Manufacturing (Thailand) Co., Ltd.","Huai Khwang, Bangkok",Account & Relationship Management,Full time,,,"Responsibility: 1.Keep track of competitors’ movements regarding sales performance and sales policies. Manage the database for Regional sales and provide data support to the Planning Manager. 2.Analyze and comprehend the vehicle market, especially in terms of comparing our product with competitors. 3.Coordinate with Financial Company: Collaborate with the financial company to update financial rates and facilitate payments with the bank 4.Prepare and review details in the Bulletin to align with the Sales Policy proposal. 5.Proficiently use the GCIP system, collaborate with the operation team to understand partner performance, and provide insights to support the effectiveness of sales policies."
Trader in Agricultural Commodity/เทรดเดอร์สินค้าเกษตร,"CREMER ASIA TRADE CO., LTD.","Khlong Toei, Bangkok",Management,Full time,35000,44999,"Qualification 28 - 35 years old Bachelor's degree in business or other related field Fluency in English Excellent communication and interpersonal skills Has the experience working as an (international) trader at least 1 year Responsibilities Supporting the commercial team on daily activities related to trade administration (for e.g. issue trade confirmation, sending contract to customers, etc.) Provide support to identify and interpret market trends including supply/demand, import and export data and competitor analyses Work location : Near MRT Queen sirikit convention center and BTS Thonglor"
Sales Executive/เจ้าหน้าที่ฝ่ายขาย,properties direct,"Vadhana, Bangkok",Management,Full time,,,"Responsibilities: Sales of public relations management and digital marketing services related to the property industry Actively seeking new sales opportunities through cold calling, networking and customer visits Setting up meetings with potential clients, preparing and delivering appropriate presentations on Urban Assets services Work closely with the business development team to negotiate and close deals Sales reporting / Reporting of customer feedback Customer servicing, administrative tasks related to the assigned projects Collaborating with team members to achieve sales goals Requirements: Passionate in sales and marketing with a strong business sense and a high level of determination to achieve sales targets and goals within set deadlines. Three or more years prior sales experience required, preferably from an agency background Outstanding interpersonal skills Strong communication skills in both Thai & English Able to work independently as well as in a team Strong problem-solving skills with a solution-based mindset Self-motivated with a results-driven approach Bachelor’s degree in marketing, business administration, or relevant field is advantageous Proficient in Microsoft Office (Excel, Word and PowerPoint) สวัสดิการ ประกันสังคม ติดต่อ : ฝ่ายทรัพยากรบุคคล Properties Direct Co., Ltd. 38/54 ซอยสุขุมวิท 49 แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพ Tel : 065-729-5716"
Customer Experience Representative (Permanent and Contract)...,Federal Express (Thailand) Limited,"Huai Khwang, Bangkok",Account & Relationship Management,Full time,,,"You will be responsible for handling customer incoming calls to provide excellence service, information, and resolution. Requirements: High School / Diploma / Degree or above in any fields. Work experience in service industry and call center are preferable. Experience in providing customer support and solution with strong service mind. Good command of written and spoken English; Thai speaker Effective communication skills and good track for dealing with customers. Able to work under pressure and adapt to changes at short notice. Willing to work in shifts, including Saturdays and public holidays. Fresh graduates are also welcome. Working hours: 44 hours per week Work 5 to 5.5 days per week Work Location: Head Office at Thai Summit Tower, New Petchburi Rd. (near Petchburi MRT Station) Benefits: Average monthly pay up to THB 21,180 based on qualification and experience Guaranteed bonus Performance bonus Health & Life Insurance Dental Fund And more... These are autonomous roles offering great employee benefits. Remuneration will be commensurate with experience. If you are ready for this challenge, please click ' Apply Now'. Let's check out FedEx Online Cinema!:  HERE!! [link removed]"
