Jobtitle,Company,Location,Job Position,Salary Min,Salary Max,Job Description
Office Administrator (Chinese Speaking),"ZTE (Thailand) Co., Ltd.",Surat Thani,Administrative Assistants,Full time,,,"Base Location: Surat Thani Job Highlights Good command in Chinese English communication is preferred Fresh Graduate are welcome. Job Descriptions: Dormitory management Vehicle management Office supplies management Office renovation Fixed asset management Administrative reimbursement management etc. Qualifications: Bachelor’s Degree or Higher Strong communication skills. Good command of written and spoken Chinese (HSK 5 would be advantage) Full-Service mind, good interpersonal skill, able to handle confidentiality. Able to handle pressure and multiple tasks. Excellent time management skills, ability to prioritize. Self-directed and able to work. Good computer skills, knowledge in Microsoft office."
QC Operations Officer,"Bangkok Payment Solutions Co., Ltd.","Chatuchak, Bangkok",Administrative Assistants,Full time,,,"Duties and Responsibilities Preparing and sorting documents for data entry. Entering data into excel sheet and checking to ensure the accuracy of the data that has been inputted. Resolving discrepancies in information and obtaining further information for incomplete documents. Collect all job sheets from outsources and verify if they have payments completed. Check TID on job sheet against TID on sale slip, it must be exactly the same. Check merchant’s name, address. Working with service providers to activate SIM card using for EDCs. Understanding basic information of EDCs whether it can support WeChat, AliPay, QR PromptPay, etc. Requirements / Qualifications Bachelor’s Degree in any field or higher. At least 1-2 years of experience in EDC service and QA would be advantage. Good skill in Microsoft Office, Excel, Word, and Power point. High responsive, flexible, and service-minded attitude. Strong communication and interpersonal skills with aptitude in building relationships with professionals of all organizational levels. Dedicating hours upon hours of extra work. Ability to work to time constraints. Keep commitment."
เจ้าหน้าที่วิเคราะห์ข้อมูล (HRIS)/เจ้าหน้าที่วิเคราะห์ข้อมูล (HRIS),PTG Energy Public Company Limited,"Huai Khwang, Bangkok","PA, EA & Secretarial",Full time,,,"Job Purposes : รวบรวมข้อมูลด้านงานบริหารข้อมูลงานบุคคล ทั้งจากภายในและภายนอกองค์กร เพื่อนำมาวิเคราะห์ข้อมูล, จัดทำรายงาน, และ Presentation ตามที่ได้รับมอบหมายจากหัวหน้างาน เพื่อให้สอดคล้องกับองค์กร และแผนกลยุทธ์ด้าน HR Key roles and responsibilities : วิเคราะห์ข้อมูล, จัดทำรายงาน, และนำเสนอข้อมูลด้านงานบริหารข้อมูลงานบุคคล เพื่อนำมาทำแผนกลยุทธ์ด้าน HR ให้สอดคล้องกับองค์กร ตามที่ได้รับมอบหมาย การนำข้อมูลมาใช้วิเคราะห์ผลที่จะเกิดขึ้นได้อย่างแม่นยำ เพื่อคาดการณ์ผลที่จะเกิดในอนาคต การนำเสนอข้อมูลอย่างเป็นระบบ ด้วยเทคโนโลยีและเครื่องมือทางสถิติ เพื่อใช้ประกอบการตัดสินใจของผู้บริหาร วิเคราะห์ข้อมูลและพัฒนารายงานในรูปแบบ Offline/Online เพื่อให้สะดวกต่อการใช้งาน จัดทำรายงานและ Presentation เพื่อนำเสนอข้อมูลงานบุคคล ตามที่ได้รับมอบหมายจากหัวหน้างาน ปฏิบัติงานอื่น ๆ ที่เกี่ยวข้องและตามที่ได้รับมอบหมายจากผู้บังคับบัญชา Skills : จบการศึกษาระดับปริญญาตรี สาขาเศรษศาสตร์ ,บริหารธุรกิจ หรือสาขาที่เกี่ยวข้อง มีประสบการณ์การทำงาน 3-5 ปี ใช้คอมพิเตอร์ โปรแกรม MS-Office ได้คล่อง (โดยเฉพาะ Excel, Pivot, V-lookup) สามารถใช้งานโปรแกรม Power BI / MS Access / SQL ได้จะพิจารณาเป็นพิเศษ มีทักษะในการใช้ Dashboard นำเสนอต่างๆ หรือโปรแกรมนำเสนอต่างๆ มีความรับผิดชอบสูง บริหารทีมงาน รักการทำงานเป็นทีม มีทัศนคติในเชิงบวก (Positive Thinking) มีลำดับทางความคิด (ความคิดเชิงระบบ - Logical Thinking) การคำนวณและวิเคราะห์, การสื่อสารและนำเสนอ PTG Energy Public Company Limited 90 CW Tower, Tower A, 33rd Floor, Ratchadaphisek Road, Huaykwang, Bangkok  10310 Tel: 02-168-3377, 02 -168-3388 ต่อ 747 www.ptgenergy.co.th"
พนักงานขับรถผู้บริหาร/พนักงานขับรถผู้บริหาร,"LOG PLUS MINING SERVICES CO., LTD.","Thung Khru, Bangkok","PA, EA & Secretarial",Full time,16000,19999,รายละเอียดงาน หน้าที่ความรับผิดชอบ ขับรถให้ผู้บริหารและครอบครัวไปตามสถานที่และเวลาที่กำหนดโดยปลอดภัยและ ตามนัดหมาย รู้จักเส้นทางในกรุงเทพ ปริมณฑล เป็นอย่างดีและ มีความถนัดในการใช้ google map มีความซื่อสัตย์สุจริต และไม่เคยมีคดีความมาก่อน เน้นการขับรถที่มีความปลอดภัย มีมารยาท ดูแลรักษายานพาหนะของผู้บริหารโดยการล้างรถ เช็ดรถ และทําความสะอาดภายในให้มีความ  สะอาดอยู่เสมอ ดูแล และบํารุงรักษาเครื่องยนต์ให้อยู่ในสภาพสมบูรณ์พร้อมใช้งาน โดยการตรวจเช็กทุกวันก่อนเริ่มปฏิบัติงาน ปฏิบัติงานอื่น ๆ ตามที่ได้รับมอบหมายจากผู้บังคับบัญชา มีที่พักอาศัยให้ Employment type:  Full-time สถานที่ทำงาน ประชาอุทิศ96 แขวง/เขตทุ่งครุ สนใจติดต่อ : คุณกฤษฎา บจก.ล็อก พลัส ไมน์นิ่ง เซอร์วิสเซส โทรศัพท์ : 094-782-4241
HR Generalist,"AWP Services (Thailand) Co., Ltd.","Ratchathewi, Bangkok",Administrative Assistants,Full time,,,"Summary The Human Resources Generalist is responsible for ensuring the day-to-day operation of assigned HR functions within the respective line of business/function/country. The accountability spans from implementing HR operational strategies, analyzing people information and leading HR processes to proactively engaging in employee relations, executing employee development activities, and managing & implementing policies and procedures in support of the company culture. This role is primarily responsible for: Demonstrate employee advocacy and develops a reputation as a neutral and approachable HR professional serving all employees. Perform all HR related transactional country specific tasks (e.g., leave & exit management, visa and work permit, system related HR inputs for reporting). Be the first point of contact on all employee complaints, grievance and disciplinary matters. Communicates benefits-related changes and assists employees with questions regarding compensation. Support smooth execution of local engagement programs along with the COE. Provide on-site support for location specific HR activities (e.g., local onboarding). Perform local HR admin activities for legally required tasks (employee details, comp information). Actively participate and provide information for audits, risk, compliance. Ad hoc tasks, as required. What makes you a successful candidate? Demonstrated experience in HR role at least 3 years or above. Manage, schedule, and prioritize work, handle time properly, meet deadlines and ensure that this is being followed within the department. Bachelor’s degree in any field. Fluent in both Thai and English communication both written and verbal. Friendly, confident, and good interpersonal skill with the ability to communicate to all stakeholder’s level. Stay up to date on labor laws and related HR trend."
HR MANAGER/ผู้จัดการฝ่ายบุคคล,"Innovative Food and Beverage (Thailand) Co.,Ltd","Yan Nawa, Bangkok",Administrative Assistants,Full time,,,"Overall operational management Maintain HR workflow, its procedures, information system and technology of HR operations to improve  efficiency & effectiveness and provide satisfied employees’ experiences. Provide the annual budget estimation in part of recruitment, compensation & benefit, employee relation, and manage all expenses to be in line with an approved budget. Oversee administration of headcount management, recruitment, employee relationship, and all compensation  & benefit activities to comply with standard procedures Lead and develop team capability, knowledge, and skills to ensure career progression and engagement. Recruitment Manage headcount budget of each function, identify staff vacancies. Recruit, interview and  select talent applicants; co-manage on-boarding process (including new employee orientation). Enhance quality of recruitment platform, job portals, all recruitment channels (both online & offline) Manage the end of probation process for all new joiners, coaching managers through the process as needed. Compensation & Benefit Manage, oversee the monthly payroll, including all related actions according to local law requirements (e.g.  Revenue Department, Social Security, Provident Fund, Loan), and administrative processes by the responsible  HR Officers. Ensure accurate and timely reporting of payroll to Finance. Responsible for developing regular HR reports to  provide management with key data including headcount, staff turnover, Com & Ben expenses, and other  related topics. Managing and overseeing the benefits administration, organizing the annual review of the employee benefits to optimize cost while maximize benefits for all staff, benchmarking to the market as needed. Employee Relation Communicate policies pertaining to Human Resources, compensation, and benefits. Administers complex processes related to the delivery of HR services, collaborates with managers, and legal  advisor – conducting investigations, corrective actions, conflict resolution. Offer counseling services to employees, ensure engagement is maintained, and managers act in a way that  involves their staff."
业务助理/ผู้ช่วยธุรกิจ,"PRASPECT TECHNOLOGY CO., LTD","Thon Buri, Bangkok","PA, EA & Secretarial",Full time,45000,69999,"将中文翻译成泰文，反之亦然 Verbally translating meeting from Chinese to Thai and vice versa. 翻译商业文件、政府文件或合同文件，例如 公司法规、政策、表格、工作指导、合同等。 Translating business documents, Government documents, or official documents related to construction e.g. Company Regulation, Policy, Manufacturing Process, Forms, Work Instruction, Contract, etc 需与中国同事，泰国当地客户或者合作伙伴沟通 Communicating with native Chinese staff，local customers or partners in Thailand 履行行政和秘书职责 Performing administration and secretarial duties. 协助采购 Assisting procurement 协助文件管理 Assisting document control 招募条件： Recruitment conditions: 中文或工程领域相关的学士学位 Bachelor's degree in Chinese or Engineering field 中文流利 Bachelor's degree in Chinese or engineering field HSK 5级以上 HSK level 5 and above 欢迎新毕业生 A good level of English is preferred. 熟练地使用Microsoft Office Proficiency with Microsoft Office"
Human Resources Staff/เจ้าหน้าที่ทรัพยากรบุคคล,"TAXSEE (THAILAND) CO., LTD.",Chiang Mai,Administrative Assistants,Full time,25000,29999,"We are one of the leading players in the fast-growing e-hailing services industry. Our mission is to provide convenient, reliable, and safe transportation solutions to our customers. With our innovative technology and commitment to excellence, we are reshaping the way people travel in Thailand. This job is for you If: you are a competent and capable specialist, who has at least 1-2 years of working experience as an HR; your English is above B1 level; you have extensive knowledge of labor regulations and laws of Thailand; you have experience managing HR software/CRM system. Key tasks: Admission, transfer and dismissal of employees, duty regulations, maintaining personnel records and daily attendance (if it is required by the current legislation of Thailand), as well as promotions, mutations and salary changes, Social Security Funds registration; Collecting employee data and personal information, HR software management; Provision of all types of leaves to employees, issuing rewards and penalty documents, consulting employees on corporate HR procedures; Reporting on HR record management; Interaction with the government agencies on labor related issues; Monitoring changes in the current legislation of Thailand related to HR record management; Development and implementation of new HR policies and practices. Benefits: Working schedule: Monday-Friday, 09:00 am - 18:00 pm; Annual salary revision and increment; Free online training program from the first day of working; Tech-savvy environment: corporate software, work messenger, news blog; Compact and well equipped office in Chiang Mai; Annual leaves & sick leaves; Overtime claim; Career growth opportunities."
HR Training Associate/ Senior Associate (English Speaking),"Inteluck (Thailand) Co., Ltd.","Din Daeng, Bangkok",Administrative Assistants,Full time,,,"***Only English Resume shall be considered*** Working hours: 5 days (Mon – Fri: 9 a.m. – 6 p.m.) Working location: Fortune Tower (MRT Rama 9) ***Interested applicants, please submit your updated English resume with contact phone number, current and expected salary. Salary will be dependent on experience and qualifications. Only shortlisted candidates will be contacted. *** *** Able to start working immediately will be considered an advantage.*** Responsibilities: Training Coordination: Actively participate in discussions on training needs, executing and coordinating training activities, ensuring seamless delivery in line with established plans. Training Development Assistance: Collaborate to contribute to the development and enhancement of training courses. Support the organization and structuring of training resources, ensuring accessibility for all team members. Effectiveness Tracking and Evaluation: Compilation and analysis of test scores and implement systems to track and evaluate the effectiveness of training initiatives. Gather participant feedback and insights to continually enhance training programs. Qualification: Bachelor’s degree in any fields. Experience in HRD as a training or education-related role as requirement; Senior Associate (Min. 5 years) and Associate (Min.2 years) Fluent in English communication skills. TOEIC result will be plus. Energetic and outgoing personality with a passion for training and development. Strong communication, coordination, and presentation skills. Basic PowerPoint/Slides formatting and design abilities. Service-mind, hardworking, have responsibilities. Well organized and able to work under pressure. Creative thinking, can-do attitude, interpersonal skills and team working. Be able to work under multi-culture work. Benefits: Group insurance: OPD/IPD and Dental Provident fund Birthday allowance Length of service benefits Diligence allowance benefits Snack and drink in the office"
Boutique Office Executive (Boutique Base) - Cartier,Richemont Luxury (Thailand) Ltd.,"Khlong San, Bangkok",Administrative Assistants,Full time,,,"Want to grow your career with an amazing team?  Join us NOW as Boutique Office Executive for Thailand. HOW WILL YOU MAKE AN IMPACT? The purpose of this position is to be responsible for the application of all back office tasks which are stock management procedures and ensures the daily management of boutique operations, CRM, IT and finance & banking operation. KEY RESPONSIBILITIES STOCK MANAGEMENT Manage all stock transfers (reception, departure, boutique to boutique, boutique to office/warehouse etc.) Controls the quality of all stock and validate the stock deliveries from warehouse Label products when receiving stock deliveries or transfers Manage client reservations Manage consigned products (press shooting, events, to staff, presentation outside) Manage boutique pick-ups and exchanges (product labels, stock movements…) Ensures daily protection and correct manipulation of pieces e.g. wrap watch with film before display Ensure replenishment of pieces on the sales floor Regularly check stock pieces quality and preparation to have them repaired (send to Customer Service platform if necessary) Organise price labelling and changes Support team to manage the annual, cycle and spot stock count (preparation, document, and contact with finance) Consolidate email enquiries on stock before distributing to each boutique member Monitor POSM stock utilization and stock level CRM ADMINISTRATION Manage CRM gift stock (keep record, contact with CRM team in the office) Help boutique manager to keep and maintain Client Database PROVIDE BASIC IT SUPPORT Report IT issues Follow up on solving IT issues FINANCE AND BANKING OPERATIONS SUPPORT Petty cash control Exchange information with Finance back-office Submit cash payment reports to Management Control Monitoring red-light report and inform boutique staff and finance team DAILY BOUTIQUE OPERATIONS Handle boutique supplies such as stationary, beverage and snacks stock for clients HOW WILL YOU EXPERIENCE SUCCESS WITH US? Organisation skills Detail and meticulous Team player Flexible and adaptable HOW DO WE KEEP YOU SMILING? A great opportunity to be an essential contributor in a dynamic team, working for the success of a first class Luxury Maison under strong business acceleration and transformation Potential opportunities within the Richemont Group to help you develop and take your career to the next level YOUR JOURNEY WITH US: After being shortlisted, you will meet with HR Manager and Boutique Managers to get to know YOU and assess your fit to the role and share on the Maison culture and team dynamics Finally, you will meet with the Commercial Director to find out more about how we operate and an opportunity for you to ask questions about the business and the Maison. PERSONAL DATA COLLECTION STATEMENT We, Richemont Luxury (Thailand) Limited (“Richemont”), will collect and process your résumé, curriculum vitae or other personal information such as name, email address, postal address, telephone number and other information regarding yourself, your past employment and/or your education (hereinafter referred to as “Personal Data”) for the purposes related to the evaluation of your application and recruitment process as well as to contact and correspond with you to respond to such applications (“Purposes”). Failure to provide such Personal Data may affect our processing and evaluation of your application. All information provided by you will be used for the Purposes only. If your application is unsuccessful, we will keep your Personal Data for a period of 1 year and will destroy it after such period. Your Personal Data may be provided to our Group and any subsidiary company of our Group, and/or any internal/external trusted service providers in Thailand and outside of Thailand authorized to process the information for the Purposes. If you provide the personal data of any third partis to Richemont (including, for example, your previous employer), you agree that you have obtained their authorisation for Richemont to use the information for the Purposes."
