Jobtitle,Company,Location,Job Position,Salary Min,Salary Max,Job Description
Sales Executive / Project Sales / Government Project Sales/พนักงานขายโครงการ,WESTERN DECOR CORPORATION PUBLIC COMPANY LIMITED,"Lam Luk Ka, Pathum Thani",Account & Relationship Management,Full time,,,"- ติดต่อ ประสานงาน และดูแลการขายให้กับกลุ่มลูกค้าเอกชน (Designer, Architect, Developer) / หน่วยงานราชการ - รับผิดชอบเป้ายอดขายผลิตภัณฑ์กระเบื้องปูพื้น, ลามิเนต, วัสดุปิดพื้นผิว, ปูนกาว, และสุขภัณฑ์ - ดูแลความสัมพันธ์ที่ดีระหว่างบริษัทกับกลุ่มลูกค้าทั้งเก่า และใหม่ - รับผิดชอบยอดขายตามที่บริษัทกำหนด รวมทั้งการขยายฐานลูกค้าเพื่อเพิ่มยอดขาย - ติดตามการเรียกเก็บค่าใช้จ่ายกระทั่งจบโครงการ - ทำรายงานสรุปยอดขาย และ Update งานขายที่ได้รับมอบหมาย - ดูแลงานที่เกี่ยวข้อง และงานอื่นๆตามที่ได้รับมอบหมาย คุณสมบัติผู้สมัคร ปริญญาตรี สาขาการบริหารธุรกิจที่เกี่ยวข้อง มีประสบการณ์ขายงานโครงการในธุรกิจวัสดุก่อสร้าง-ตกแต่งบ้าน หรือกลุ่มธุรกิจใกล้เคียงอย่างน้อย 1 ปี มีประสบการณ์ทำงานร่วมกับบริษัทผู้ออกแบบ, ผู้รับเหมา และมีความรู้เกี่ยวกับสินค้าวัสดุก่อสร้างหรืออุปกรณ์ตกแต่งบ้าน มีทักษะด้านการเจรจาต่อรอง และการนำเสนอการขายสินค้า รวมทั้งการรักษาความสัมพันธ์อันดีกับลูกค้า มีความซื่อสัตย์สุจริต และรักษาข้อมูลความลับขององค์กรได้เป็นอย่างดี มีใบอนุญาตขับขี่รถยนต์ และมีรถยนต์ส่วนตัวที่สามารถนำมาใช้ในการทำงานได้"
Sales Manager or Senior Sales / Feed mill and integrated farm,"PERSOLKELLY HR Services Recruitment (Thailand) Co., Ltd.",Bangkok,New Business Development,Full time,,,"Position: Sales Manager Business: Chemicals trading Company size: 150 Time: Mon – Fri, 8.30 – 17.30 Location: Bangkok Salary: 80K – 150K THB & Bonus Responsibilities: Look after poultry business both feed mill and integrated farm Order and Sales: Execute the day-to-day work with the current and potential customers to offer product Customer Relation Management: Update customer database and visiting customer in order to retain long-term customer relationships with established clients and build new relationship with potential customer which lead to customer satisfaction and finally generating orders and sales. Channel Development: Seek and establish potential and customer in order to create new pipeline and expand customer networks Commercial Policy: Operate sales activities within the scope of Commercial Policy, monitor and supply market information, in terms of product offer, price situation and competitors’ performance Team setup: help division manager on build up team members and manage team Qualification: Bachelor degree in veterinary science At least 5 years of working experiences as key account management, sales executive for feed mills/integrated farm with good knowledge in poultry, pig Experience in team management is a must Good communication, presentation skill Own car with driving license Strong command in English Interested candidates are invited to write in with full resume (MS Word or PDF), starting present and expected salaries, and enclosing a recent photograph to the address below: PERSOLKELLY HR Services Recruitment (Thailand) Co., Ltd. 27th Floor, Empire Tower 3, Unit 2707, 1 South Sathorn Road, Yannawa, Sathorn, Bangkok 10120 Thailand Only shortlist candidates will be contacted"
Sales & Export Manager.,TOA Paint (Thailand) Public Company Limited,"Bang Sao Thong, Samut Prakan",New Business Development,Full time,,,"Job Description Objectives of the position Set business goals, plan, manage and control sales operations for export products. Take care of Export customers, Export sale target including marketing and                     promotional media and budget. Take care of customers abroad Support business development in                                     assigned international markets. Prepare reports to present to supervisors and establish standard procedures for               operating and planning work in accordance with organizational policy. To promote and support sales and marketing achieve the objectives and goals that           have been set. Control costs and expenses in accordance with company policy. Managing team effectively and efficiently Main Responsibilities: Set annual export sales targets for the Export to Customer section together with executives. Considering the sales of the division in the past year. and planning sales forecasts for the next year. together with the economic situation, market conditions, and purchasing power of customers to be used to determine strategies and operational plans for the department. Set a pricing strategy that is appropriate and consistent with various circumstances, considering 1) production and operating costs 2) economic circumstances, behavior and purchasing decision framework of customers the intensity of competition in the market Including the evaluation of demand and supply as a deciding factor in determining pricing strategies to make the product have a price level that is satisfactory to the organization and appropriate to the customer's skill level or purchasing power. Set up an operational plan and supervise the department, including setting up standardized processes and procedures to support the sale of products for export. By surveying customer needs and related internal departments Then collect information and summarize it into a document, a contract, in order establish an agreement and mutual understanding of work. and respond to customer needs Make customers satisfied. Set and manage the annual budget appropriately by allocating various related expenses including Sales and marketing support expenses within the specified annual budget Including material design Procurement of promotional materials/equipment, etc., including other marketing activities related to allocate the budget for maximum benefit and efficiency. Manage customer relationships focusing on the interests and needs of customers. Presentation of the sales process and related marketing activities to support sales, including customer assessments and annual measurement Customer satisfaction survey Including friendly communication, talking, meeting both formally and informally. To make customers impressed It creates satisfaction and adds value in products, services, employees, and the image of the organization. Qualification: Bachelor's degree in business administration or related filed 5 years of direct experience in Export Sales Understanding on basic process and procedure of Export formality Able to travel within countries and overseas. Good command of spoken & written English. Can-do attitudes and good communication skills (especially on negotiation skill)"
Sales Executive/เจ้าหน้าที่ฝ่ายขาย,"Nadex Engineering Co., Ltd.",Chon Buri,Account & Relationship Management,Full time,,,"Qualification Bachelor’s degree in management or related. 3-5 years of experience Japanese Company Good command of English is required. Knowledge of market, sales and negotiating principles. Flexible and can work under pressure Ready to learning and accept change is well. Has driver’s license. Responsibility Set sales targets for products, forecast sales, and lead the team to achieve the goals set. Maintain and update reports for the management team. Visiting the old customers and new customers. Make a quotation and follow up after sending works to customer. Control acceptance and delivery of work according to the customer's plan. Remain in frequent contact with the clients in your responsibility to understand their needs. Respond to complaints and resolve issues aiming to customer contentment and the preservation of the company’s reputation KPI driven approach. Working hours:   Monday – Friday  08.00 -17.00 Welfare : Social Security Provident fund. Medical Insurance. Annual Health Checkup. Uniforms Annual trip Annual Bonus"
Sales Logistic/Freight Forwarder (Rayong & BKK) *** Find out more detail in...,"PERSOLKELLY HR Services Recruitment (Thailand) Co., Ltd.",Eastern Region,New Business Development,Full time,,,"Job Descriptions: Select customer targets in the Chonburi and Rayong area. make phone sales calls to target client. Respond to customer requests (Quotations, etc.) Do follow-up with existing customers. Sales reports to supervisor. 80% of existing customers,20% of new clients They See the fit of their employees and decide whether to focus on approaching new clients. Qualifications: ➀At least 2-3 years of Sales Officer at Logistic/Forwarding Company. ➁Experience of Sales in Trading/Manufacturing( Have knowledge of Logistics) ③Have experienced of working as Sales Coordinator or Customer Service in Forwarding Company Lastly, this position is very new, if candidate really wants to try logistics Sales ( especially developing new clients) they are welcome. Good Command of English Have own car and driver license *All applications will be treated in strict confidence. All material submitted in connection with your application will become part of our confidential recruitment files. We regret that only shortlisted candidates will be notified. **By submitting your curriculum vitae or personal data to us in connection with your job application, you are deemed to have read and agreed to the terms of our Privacy Policy, and consented to the collection, use and disclosure of your personal data by us and our affiliates, in accordance with our Privacy Policy. Please visit www.persolkelly.co.th for a copy of our Privacy Policy. If you wish to withdraw your consent, please drop us an email to let us know. CONTACT: PERSOLKELLY HR Services Recruitment (Thailand) Co., Ltd. บริษัทจัดหางาน เพอร์ซอลเคลลี่ เอชอาร์ เซอร์วิสเซส (ประเทศไทย) จำกัด"
Assistant Marketing Manager (CRM) - Luxury Brand 80k-100k,"AOU ASIA RECRUITMENT CO., LTD.",Bangkok,New Business Development,Full time,,,"Our client is a global company in consumer products, specializing in luxury goods business. They are seeking an Assistant Marketing Manager to join their team. INTERESTED PLEASE CALL “Mamae 093 812 1951 ” SEND YOUR CV to ""aingkamon(@) aouasia.com"" Responsibilities : Mainly focus on CRM system, database and working closely with store manager and retail team. Monitor and analyze client pyramid and give suggestion to the team. Identify client issue in each branch and provide action plan to improve sales and client base i.e Recruitment, development and retention. Monitor Client Marketing tools and associated operations Working closely with Regional team, Local Retail team, Visual Merchandising, PR, and Merchandising for event planning Qualifications: Bachelor degree in relevant field Minimum 5 years working experience in the high-end niche market Experience in Luxury retail is preferred Proficiency in Microsoft Office (Excel, Word, PowerPoint) Knowledge in SQL or CRM system is an advantage Fluent in English both written and spoken is essential Strong fashion sense Click “apply now” for this challenging career opportunity in an international and very dynamic environment. *Only shortlisted candidates will be contacted.*"
Medical Equipment Sales/พนักงานขายเครื่องมือแพทย์,"G Evolution Co., Ltd.","Phra Pradaeng, Samut Prakan",Account & Relationship Management,Full time,,,บริษัทฯ เป็นผู้ผลิต และจำหน่ายเครื่องฟอกอากาศแรงดันบวก และ ระบบปรับอากาศสำหรับห้องปลอดเชื้อ มากว่า 20 ปี จึงสามารถมั่นใจและเชื่อใจได้ว่าเราเป็นผู้เชี่ยวชาญในด้านนี้ และยังได้รับรางวัลนวัตกรรม สิ่งประดิษฐ์ สินค้ามีมาตรฐาน มอก. หน้าที่ความรับผิดชอบ ออกตลาดหาลูกค้า เพื่อประชาสัมพันธ์ผลิตภัณฑ์ ออกบูธ ออกอีเว้นท์ เป็นบางช่วง งานอื่่นๆ ที่ได้รับมอบหมาย คุณสมบัติ วุฒิการศึกษา ม.6 ขึ้นไป มีประสบการณ์ด้านงานขายเครื่องเมืองแพทย์ สวัสดิการ ชุดยูนิฟอร์ม ค่าน้ำมัน (กรณีที่ออกไปทำงานด้านนอก) ค่าคอมมิชชั่น
Sales Supervisor /หัวหน้าฝ่ายขาย (Base in Pattaya Chonburi),"109 REAL ESTATE (2555) CO., LTD.",Chon Buri,New Business Development,Full time,25000,34999,"Salary: 25,000 - 35,000 + Commission + Bonus + Welfare (average total salary 60,000 – 80,000) Work 6 days/ week (weekday day-off) Job descriptions Provide and present detailed information to potential customers and agents. Answer potential customer questions and follow-up questions. Develop sales strategies to achieve organizational sales goals and revenues. Track weekly, monthly, quarterly, and yearly performance and sales metrics, analyze, and report. Organize and coordinate sales representatives’ schedules. Supervise and assist sales representatives to ensure members of the sales team have the necessary resources to perform properly. Control expenses and monitor budgets. Collaborate with other departments to provide customer service during the sale and after-sale process. Qualifications Bachelor’s degree in any fields 3-10 years of experience in sales department or related field is preferable Excellent verbal and written communication skills **Good command in English and Thai both speaking & writing (able to write professional business email, holding TOEIC score above 700 is preferred) Ability to speak Chinese would be advantage Pleasant personality and good looking, Persuasive and goal-oriented Ability to multitask, prioritize, and manage time efficiently Computer literacy, Microsoft Office (Word & Excel)"
Sales Executive,STAR AVENUE,Chiang Mai,Account & Relationship Management,Full time,,,Responsibilities รับผิดชอบในด้านงานขายและงานโอนกรรมสิทธิ์โครงการอสังหาริมทรัพย์และบริการลูกค้าเพื่อให้สำเร็จลุล่วงตามเป้าหมายที่บริษัทกำหนด นำเสนอผลิตภัณฑ์อสังหาริมทรัพย์และให้คำปรึกษาด้านผลิตภัณฑ์ของบริษัท ทำความรู้จักและทำความเข้าใจความต้องการของลูกค้าผู้เข้าชมโครงการ พาลูกค้าชมโครงการ พร้อมให้คำปรึกษาและนำเสนอจุดเด่นของโครงการ แนะนำโปรโมชั่นสนับสนุนการขายต่างๆ ติดต่อหาลูกค้าเพื่อสร้างโอกาสในการรักษาความสัมพันธ์ ติดตามสถานะการตัดสินใจและเพื่อปิดการขาย อำนวยความสะดวกในเรื่องเอกสารซื้อ-ขาย ประสานงานกับลูกค้าและสถาบันการเงิน ประสานงานหน่วยงานต่างๆ ที่เกี่ยวข้อง และบริการหลังการขาย รับผิดชอบยอดขายตามที่บริษัทกำหนด Requirements มีประสบการณ์ด้านการขายอสังหาริมทรัพย์ อย่างน้อย 1-3 ปี จบการศึกษาระดับปริญญาตรีทุกสาขา สามารถทำงานที่จังหวัดเชียงใหม Contact us : 089-434-2211
"ผู้จัดการฝ่ายขาย (รับผิดชอบ : รพ.,คลินิก ภาคเหนือ และ ตะวันออกเฉียงเหนือ 1...","Pharmahof Co., Ltd.",Others,Account & Relationship Management,Full time,,,"รายละเอียดงาน ปฏิบัติงานและดูแลผู้แทนยาในทีม ให้เป็นไปตามนโยบายของบริษัทฯ ควบคุมการพบลูกค้า และติดตามการดำเนินการขายให้เป็นไปตามเป้าที่กำหนด ให้คำแนะนำการขายผลิตภัณฑ์ตามนโยบายของบริษัท รายงานความเคลื่อนไหวของตลาด/คู่แข่ง ให้ผู้บังคับบัญชารับทราบ มีประสบการณ์ในระดับหัวหน้าในสายงานผู้แทนยา 3 ปีขึ้นไป ต้องมีประสบการณ์ผู้แทนยา, เครื่องมือแพทย์เท่านั้น คุณสมบัติผู้สมัคร วุฒิการศึกษาระดับปริญญาตรีขึ้นไป ชอบความท้าทาย อดทน ขยัน สู้งาน มีความรับผิดชอบสูง ซื่อสัตย์ รักงานขาย มีทัศนคติดี รักงานบริการ สามารถแก้ไขปัญหาเฉพาะหน้าได้ดี มีบุคลิกที่ดี มนุษย์สัมพันธ์ดี เข้ากับคนอื่นได้ง่าย มีทักษะในการติดต่อสื่อสาร และนำเสนองานได้ดี ทำงานเป็นทีม ลีดทีมไปสู้เป้าหมายได้ มีเงินค้ำประกัน+คนค้ำประกัน มีรถยนต์เป็นของตนเองและใบอนุญาตขับขี่"
