Jobtitle,Company,Location,Job Position,Salary Min,Salary Max,Job Description
"Coordinator (JP, Lamphun) (30K–50K) (SDG-101520)/เจ้าหน้าที่ฝ่ายประสานงาน...","RGF HR Agent (Thailand) Co., Ltd.",Lamphun,Client & Sales Administration,Full time,,,"<Job responsibilities> Communicate with Japanese sales persons about Stock, Orders or Delivery schedule Communicate with Thai staff about Stock, Orders or Delivery schedule Depending on the situation, consider the solution to be on time Collect necessary documents Input the date to the system Interpret in the meeting or translate some documents if necessary Other tasks as assigned <Necessary Skill / Experience > Bachelor's degree At least 1 year experience as sales support or any positions using Japanese *Fresh graduates are welcomed Conversational high level of Japanese (JLPT N2 up) *Many scenes of reading/writing Japanese by mails Person who can commute by oneself <Preferable Skill / Experience> Experience in import/export tasks Experience in working/studying in Japan Language Skill English level : Conversational Japanese level : Conversational Workplace Area: Mueang, Lamphun Working Hour: 8:00-17:00(Mon-Fri, Sat: every other Sat) About the Benefits 30,000–50,000THB About the company Product & Service:     Fine ceramics substrate Business Type:          Automobiles / Automobile Parts; HOW TO APPLY FOR A JOB, *** Please submit your resume with recent photo, your current & expected salary and reference: Coordinator (JP, Lamphun) (30K–50K) (SDG-101520) *** any query regarding this Job or application method, please call Tel. 02-021-0333 689 BHIRAJ TOWER at EmQuartier, 23rd Floor, Room No. 2304-2306 Sukhumvit Road, North Klongton Sub-District, Vadhana District, Bangkok 10110 Website: www.rgf-hragent.asia [link removed] and find us on Facebook: RGF Thailand [link removed]"
Personal Assistant (Chinese Speaking),"REVER AUTOMOTIVE CO., LTD.","Pathum Wan, Bangkok","PA, EA & Secretarial",Full time,,,"Plan/organize meetings and when required, including prepare meeting packages, attend and record proceedings, writing and distributing comprehensive minutes and action. Coordinate with management team and our customers. Represents Company in a positive and professional manner in everywhere. Ensuring efficient and effective communication of President and internal. Ability to work under pressure and even-tempered particularly in stress situations. Performs such other duties as assigned. Qualifications: Bachelor's degree in Chinese, Business Administration or related field. Good in Chinese both writing and speaking (HSK5 Up). Good typing skills both Thai, English and Chinese. Good computer literacy (MS Office Word, Excel, Power Point, Internet, E-mail). Experienced in law firm or automotive experience would be advantage. Pleasant personality, service-minded, highly responsible. Good interpersonal & communication skills. Can do attitude, fast learner, detail oriented. Detail-focused with accuracy."
URGENT! HR & Admin Officer for Japanese Speaking JLPT N3 / BTS Phayathai...,"PERSOLKELLY HR Services Recruitment (Thailand) Co., Ltd.",Bangkok,Administrative Assistants,Full time,,,"Our client is a Japanese distributor and sales of fire extinguishers, fire extinguishing equipment is URGENTLY looking for a qualified candidate as a below information. Job overview Support for business trip member's schedule, flight and hotel booking support, VISA support...etc. Support for Japanese expat and their family when required. To make documents to update current HR&GA related. Inventory Control/stock control management Employee payroll management and attendance management Other tasks assigned by Japanese Manager. Qualifications Bachelor’s degree in Japanese or related field. Experience in HR/GA/Admin or related roles (including payroll task experience). Good command of Japanese skill (JLPT N3 or up). Good communication, mature, teamwork and multitasking skills. Background from small company is a plus. More Information Basic Salary: up to 45K (salary depends of working experience and skills) Benefits: Transportation allowance 1,500 THB/month, Bonus, etc. Working days: Monday – Friday (08:30 - 17:30) **All applications will be treated in strict confidence. All material submitted in connection with your application will become part of our confidential recruitment files. We regret that only shortlisted candidates will be notified.** By submitting your curriculum vitae or personal data to us in connection with your job application, you are deemed to have read and agreed to the terms of our Privacy Policy, and consented to the collection, use and disclosure of your personal data by us and our affiliates, in accordance with our Privacy Policy. Please visit www.persolkelly.co.th for a copy of our Privacy Policy. If you wish to withdraw your consent, please drop us an email to let us know. ********************************** PERSOLKELLY HR Services Recruitment (Thailand) Co., Ltd. 27th Floor, Empire Tower 3, Unit 2707, 1 South Sathorn Road, Yannawa, Sathorn, Bangkok 10120 | Thailand Contact Person: Ms. Chutharat (Bee) **Mobile phone: 099-8958298 ** Chutharat_Palagab (at) persolth.com"
Japanese Interpreter,JAC Recruitment Eastern Seaboard,Rayong,Administrative Assistants,Full time,,,"Contract type: Permanent Location: Rayong Specialisation: Automotive Salary : 70 - 75K Responsibilities: Interpretation and translation service to Japanese Management Leading translators and interpreters for employees. Responsible for document translation. Communicate internal and external party. Qualifications: Bachelor’s degree in Japanese Major or any field. Fluent in Japanese communication High interpersonal skills, leadership skills, enthusiastic, sales-oriented and negotiation skills. Good personality/ Having service mind. Able to work under pressure, responsible at work, willingness to learn new knowledge and skills. Interested candidate, please send your resume in English (Word format only) along with your recent photo and expected salary to us by E-mail JAC Personnel Eastern Seaboard Recruitment Ltd. 4/222, 5th Floor, Harbor Mall, Moo 10, Sukhumvit Road, T. Tungsukla, A. Sriracha, Chonburi 20230 Contact : K. Patchareephan Office number 087-804-1155 Time: 9.00 am - 6.00 pm Website : https://www.jac-recruitment.co.th [link removed]"
Japanese Interpreter - JLPT N1 / Manufacturing,"ADI Resourcing Co., Ltd.",Rayong,Administrative Assistants,Full time,,,"Our client is leading Housewares manufacturer, they are looking for potential who can fulfill their requirement as following; Salary: 60,000 – 75,000 THB / Month Welfares: Annual Bonus 3.8 months+ Location: Pluakdaeng, Rayong Working Day: Monday to Friday (08:00 – 17:00 hrs.) Business Type: Housewares Manufacturing Responsibilities: Interpret Japanese to Thai and vice versa mainly in the factory site. Support Japanese management to communicate with Thai worker and Thai staff through interpreting. Mainly supporting Japanese General Manager to interpreting in back office area (HR, Admin, Accounting, Purchasing) and other area as assignment. Attend internal management meeting in factory and office, then support interpreting during the meeting. Translate documents such as manual and e-mail from Japanese to Thai, Thai to Japanese and vice versa. Other tasks might be assigned. Qualifications: Bachelor’s degree in Japanese Language or related field. At least 5 years experience as a Japanese interpreter in manufacturing environment. Excellent Command in Japanese Language or native speaking level (JLPTN1 only) and English in communication level. Proficient to use Microsoft Office and computer literary to type in Japanese. Interested and qualified applicants, please send your application letter and full "" CV Resume "" with current salary package and indicating expected salary together with recent photo by click "" Apply Now "" Only shortlisted candidate will be getting contact back. ADI Resourcing Co., Ltd. 120 Kasemkij Building, Room No. 907, 9th Floor, Silom Road, Suriyawongse, Bangrak, Bangkok 10500 Tel : 080-915-6505 ( K. Zig ) / Line ID: Pimchayaadi E-mail : esb@ adirecruitment.com [link removed]"
"URGENT! Japanese Interpreter in Logistics company / Pinthong, Chonburi / 50K...","PERSOLKELLY HR Services Recruitment (Thailand) Co., Ltd.",Eastern Region,Administrative Assistants,Full time,,,"Our client is a leading logistics company is URGENTLY looking for a qualified candidate as a below information. Job overview Translation of various internal meetings Translation of various external meetings; Client’s meeting, Supplier meeting Take a note & minutes of the business meeting. Other tasks as assigned by Japanese Manager. Qualifications Bachelor’s degree in Japanese or related field. At least 2 years of experience as Japanese Interpreter in Japanese Company. Good command of Japanese communication skill (JLPT N2 or up is preferred) Able to commute to work by your own vehicle (parking lot is provided) Able to work on every other Saturday Good interpersonal, communication and teamwork player skills. More Information Basic Salary: up to 50K / Month (salary depends on working experience and skills) Benefits: Variable Bonus average 3 months, Commute allowance 20 THB/Day, Meal Allowance 37 THB/Day, Provident fund, etc. Working days: Monday – Friday and every other Saturday (08:00 - 17:00) **All applications will be treated in strict confidence. All material submitted in connection with your application will become part of our confidential recruitment files. We regret that only shortlisted candidates will be notified.** By submitting your curriculum vitae or personal data to us in connection with your job application, you are deemed to have read and agreed to the terms of our Privacy Policy, and consented to the collection, use and disclosure of your personal data by us and our affiliates, in accordance with our Privacy Policy. Please visit www.persolkelly.co.th for a copy of our Privacy Policy. If you wish to withdraw your consent, please drop us an email to let us know. *********************************************************** PERSOLKELLY HR Services Recruitment (Thailand) Co., Ltd. 27th Floor, Empire Tower 3, Unit 2707, 1 South Sathorn Road, Yannawa, Sathorn, Bangkok 10120 | Thailand Contact Person: Ms. Chutharat (Bee) **Mobile phone: 099-8958298 ** Chutharat_Palagab (at) persolth.com"
"Online Community Admin (remote) (Chinese, Japanese, English speaking...",GoBuddy Global (Thailand),Bangkok,Administrative Assistants,Full time,16000,24999,ตำแหน่ง : Online Community Admin (remote) – พิจารณาพิเศษถ้าสื่อสารภาษาจีนหรอญี่ปุ่นได้ สถานที่ : กรุงเทพมหานคร (remote) ประเภท : งานประจำ งานประจำรายเดือน อัตราค่าตอบแทนคิดตามวันทำงานจริง 600 บาท/วัน (800 บาท/วัน หากสื่อสารภาษาจีนหรือญี่ปุ่นได้) ทำงาน 5 วัน/สัปดาห์ (หรือสามารถเลือกทำทุกวันได้) เวลาทำงาน 08:00-17:00 KPI Bonus สูงสุด 2000 THB/month สามารถได้รับการโปรโมทและโตไปพร้อมกับบริษัท ความรับผิดชอบ : ดูแลและตรวจสอบเครือข่ายผู้ใช้งานแพลตฟอร์ม ติดต่อประสานงานกับผู้ให้บริการ ผ่านทางช่องทางออนไลน์และโทรศัพท์ ให้ความช่วยเหลือผู้ให้บริการและนักเดินทาง ผ่านทางช่องทางออนไลน์และโทรศัพท์ บริหารฐานข้อมูลของผู้ใช้งานแพลตฟอร์ม คุณสมบัติ : มีมนุษยสัมพันธ์และการสื่อสารที่ดี สามารถใช้ภาษาอังกฤษและไทยได้เป็นอย่างดี พิจารณาพิเศษถ้าสามารถสื่อสารภาษาจีนหรอญี่ปุ่นได้ สามารถแก้ปัญหาเฉพาะหน้าได้ดี มีความสนใจในธุรกิจการท่องเที่ยวและให้บริการ มีทักษะในการใช้คอมพิวเตอร์โปรแกรมพื้นฐานได้ดี (MS Office suite) สวัสดิการ : สามารถทำงานจากที่ไหนก็ได้ (remote/work-from-home หรือ hybrid) โอกาสที่จะเป็นส่วนหนึ่งของสตาร์ทอัพด้านการท่องเที่ยว และเติบโตไปพร้อมกับ GoBuddy วิธีการสมัคร : ผู้สนใจสามารถสมัครผ่าน JobsDB เกี่ยวกับ GoBuddy : GoBuddy เชื่อมโยงนักเดินทางกับคนพื้นที่สำหรับบริการด้านการท่องเที่ยวและภาษา โดยเราเชื่อว่าใครๆ ก็สามารถทำงานนี้ได้ เรามุ่งมั่นที่จะพัฒนาอุตสาหกรรมการท่องเที่ยว เพื่อให้ทุกคนสามารถเข้าถึงบริการด้านการเดินทางได้ในราคาที่เหมาะสม
Admin Specialist (Chinese Speaking),PRTR,Bangkok,Administrative Assistants,Full time,,,"Our client is a leading global provider of information and communications technology (ICT) infrastructure and smart devices. With integrated solutions across four key domains – telecom networks, IT, smart devices, and cloud services. General Description of Duties and Responsibilities Managing and handling the overall process for Vehicle Management. Managing Vehicle contract terms inspection and Inefficient vehicle management for three consecutive months. Handling driver EHS violation supervision. Parking space usage check. Handling vehicle fee acceptance: overtime fee, parking fee, detention fee, over-mileage fee, etc. Randomly checking the abnormal vehicle usage and vehicle orders. Handling Vehicle monthly reports. Supervising and checking Driver etiquette and Handling of employee vehicle parking cards. Handling the platform car dispatching arrangement. Shuttle line management. Candidate Requirements Bachelor’s Degree in any related field. Above 5 years of work experience in the Admin/HR/Logistics field, better management capabilities. Strong leadership and communication skills. Open personality, active thinking, Fast learning, communication and have service mind. English and Chinese can be used as a working language."
Sales and Marketing,"Inoac (Thailand) Co., Ltd.",Rayong,Client & Sales Administration,Full time,,,"Job Description 1. To support and coordinates with Sales team, customer and manufacturing about order receiving process to delivery process. 2. Issuing invoice and document related with shipment. 3. Searching new customer and to do marketing survey and visit to customer. 4. Any assignment from supervisor."
Senior HR & Admin Officer,WSP (Thailand) Limited,"Sathon, Bangkok",Administrative Assistants,Full time,,,"Responsibilities: Support in all HR and Admin functions for Thailand. Work closely with regional HR team to ensure that all strategic plans and initiatives for local employees are aligned with corporate and business objective. Manage end to end employee life cycle processes such as onboarding, induction, learning & development, performance appraisal, final settlements, etc. Develop and implement HR policies and procedures in compliance with local labor laws and regulations. Support business leaders to develop & execute HR strategies to enhance the overall business strategies. Maintain employee records and ensure data confidentiality. Oversee general administrative functions, including office supplies, facility management, and vendor relationships. Perform other duties as required. Requirements: Bachelor's degree in Human Resources Management, Business Administration, or a related field. Proven experience in a similar role. Solid knowledge of Thailand's labor laws and regulations. HR Experience in the engineering or construction industry is preferred. Excellent communication and interpersonal skills with willingness and agility to change. Fluency in both written and spoken English and Thai. For interested parties, please click below ""Apply now"" button to apply with your resume in English and expected salary. All applications will be treated in strict confidence and only be used for recruitment related purpose."
